Prior,Next,prob
@,$,0.004077043939968576
@,&,0.013558541474779216
@,",",0.0487755323183616
@,@,0.0975375196402449
@,A,0.023040039009589862
@,D,0.01762204041826949
@,E,0.004077043939968576
@,END,0.0325215365444005
@,G,0.00814054288345885
@,L,0.0325215365444005
@,N,0.04064853443138105
@,O,0.09482852034458472
@,P,0.027103537953080136
@,R,0.04064853443138105
@,S,0.0013680446443083926
@,U,0.009495042531288942
@,V,0.08128352386628379
@,X,0.002722544292138484
@,^,0.028458037600910226
@,~,0.2546594787885355
A,!,0.006813730823631813
A,$,0.020413991948645415
A,&,0.03537427918616038
A,",",0.13057610706125558
A,@,0.0027336524861277336
A,A,0.03401425307365902
A,D,0.010893809161135894
A,E,0.0013736263736263737
A,END,0.036734305298661736
A,G,0.004093678598629093
A,L,0.008173756936133173
A,N,0.4801028179741051
A,O,0.014973887498639975
A,P,0.12785605483625287
A,R,0.021774018061146778
A,T,0.0013736263736263737
A,U,0.0013736263736263737
A,V,0.019053965836144056
A,^,0.03537427918616038
A,~,0.006813730823631813
D,!,0.0010261307757955054
D,#,0.0010261307757955054
D,$,0.012201812492380218
D,&,0.0010261307757955054
D,",",0.017281667818100543
D,@,0.0030580729060836346
D,A,0.18898077782744746
D,D,0.009153899296948024
D,E,0.0010261307757955054
D,END,0.004074043971227699
D,G,0.007121957166659893
D,L,0.00204210184093957
D,N,0.5841935221684886
D,O,0.006105986101515829
D,P,0.013217783557524282
D,R,0.016265696752956478
D,S,0.006105986101515829
D,T,0.0030580729060836346
D,U,0.00204210184093957
D,V,0.02947332059982932
D,Z,0.0010261307757955054
D,^,0.08941561344332914
D,~,0.0010261307757955054
E,!,0.04284288565725691
E,&,0.007199885942400912
E,",",0.03571428571428571
E,D,0.007199885942400912
E,E,0.07135728542914171
E,END,0.6273880809808954
E,G,0.014328485885372111
E,L,0.02145708582834331
E,N,0.007199885942400912
E,O,0.04997148560022811
E,P,0.007199885942400912
E,R,0.02145708582834331
E,U,0.007199885942400912
E,V,0.03571428571428571
E,~,0.04284288565725691
G,!,0.022250147841513895
G,$,0.03703429923122412
G,",",0.09617090479006504
G,@,0.03703429923122412
G,A,0.051818450620934355
G,D,0.02964222353636901
G,END,0.13313128326434065
G,G,0.1183471318746304
G,N,0.07399467770549971
G,O,0.051818450620934355
G,P,0.022250147841513895
G,R,0.01485807214665878
G,U,0.022250147841513895
G,V,0.08138675340035481
G,^,0.08877882909520993
G,~,0.1183471318746304
L,$,0.011790974616107803
L,",",0.0039564399874647445
L,A,0.15281259793168284
L,D,0.10580539015982451
L,G,0.0039564399874647445
L,N,0.035294578502036975
L,O,0.01962550924475086
L,P,0.09405358821685993
L,R,0.19981980570354121
L,T,0.011790974616107803
L,V,0.3525932309620809
L,^,0.007873707301786274
M,A,0.4429824561403508
M,V,0.4429824561403508
N,!,0.007886385608003026
N,#,0.002106889159766298
N,$,0.006310159303938464
N,&,0.038885502921272755
N,",",0.2606080030263545
N,@,0.008937203144046068
N,A,0.015242108360304318
N,D,0.012615064520196714
N,E,0.006835568071959985
N,END,0.04151254676138036
N,G,0.013665882056239755
N,L,0.0052593417678954224
N,N,0.1465943003656845
N,O,0.027851918792820812
N,P,0.21857530158463284
N,R,0.03783468538522971
N,T,0.0031577066958093395
N,U,0.004733932999873902
N,V,0.12347631457273758
N,Z,0.0005306628557017359
N,^,0.012089655752175193
N,~,0.0052593417678954224
O,!,0.0020588355799565695
O,$,0.0010345392715204655
O,&,0.01844757651493424
O,",",0.06761379931986726
O,@,0.0010345392715204655
O,A,0.02254476174867866
O,D,0.023569058057114765
O,E,0.0020588355799565695
O,END,0.016398983898062033
O,G,0.003083131888392674
O,L,0.0010345392715204655
O,N,0.020496169131806453
O,O,0.023569058057114765
O,P,0.049176465768017374
O,R,0.08502683656328103
O,T,0.01127750235588151
O,U,0.0010345392715204655
O,V,0.6350739541934691
O,X,0.0010345392715204655
O,^,0.010253206047445404
O,~,0.004107428196828779
P,!,0.0007731879841994059
P,#,0.00153872064182258
P,$,0.035222157577242244
P,&,0.00153872064182258
P,",",0.019145971767155587
P,@,0.021442569740025112
P,A,0.03216002694674955
P,D,0.25186789968460055
P,END,0.0038353186146921027
P,G,0.0053663839299384515
P,L,0.019911504424778764
P,N,0.12478947851915362
P,O,0.12938267446489266
P,P,0.019911504424778764
P,R,0.016849373794286065
P,S,0.00153872064182258
P,U,0.00153872064182258
P,V,0.15694185013932693
P,X,0.004600851272315277
P,Z,0.008428514560431147
P,^,0.13933459901399392
P,~,0.0038353186146921027
R,!,0.00459345623245025
R,#,0.0015413258454401173
R,$,0.00459345623245025
R,&,0.00917165181296545
R,",",0.11599621535832012
R,@,0.0015413258454401173
R,A,0.16940849713099745
R,D,0.04579721645708705
R,E,0.006119521425955316
R,END,0.01832804297399585
R,G,0.0030673910389451835
R,L,0.016801977780490782
R,N,0.012223782199975584
R,O,0.0839488462947137
R,P,0.12362654132584545
R,R,0.09157917226223905
R,U,0.00459345623245025
R,V,0.27012879990233185
R,Z,0.0015413258454401173
R,^,0.01374984739348065
R,~,0.0015413258454401173
S,",",0.06203931203931204
S,A,0.12346437346437344
S,N,0.7377149877149877
S,^,0.06203931203931204
START,!,0.05903130902222869
START,#,0.018169766090367575
START,$,0.007273354641871277
START,&,0.0027331832049978205
START,",",0.014537628940868809
START,@,0.3032925323260206
START,A,0.0354224175504867
START,D,0.029974211826238557
START,E,0.008181388929245968
START,G,0.007273354641871277
START,L,0.0363304518378614
START,M,0.0009171146302484382
START,N,0.0572152404474793
START,O,0.07265182333284906
START,P,0.019077800377742267
START,R,0.03088224611361325
START,S,0.0027331832049978205
START,U,0.0027331832049978205
START,V,0.0790080633444719
START,X,0.0018251489176231294
START,Z,0.0009171146302484382
START,^,0.06629558332122622
START,~,0.14347849774807497
T,&,0.010276760276760277
T,",",0.16290191290191292
T,@,0.010276760276760277
T,A,0.010276760276760277
T,D,0.20360195360195363
T,E,0.010276760276760277
T,END,0.030626780626780623
T,G,0.02045177045177045
T,N,0.06115181115181115
T,O,0.030626780626780623
T,P,0.2544770044770045
T,R,0.07132682132682132
T,V,0.06115181115181115
T,^,0.06115181115181115
U,#,0.03418985828922656
U,$,0.008579477548232883
U,&,0.01711627112856411
U,",",0.03845825507939218
U,@,0.008579477548232883
U,A,0.00431108075806727
U,END,0.7726225029878777
U,G,0.008579477548232883
U,O,0.00431108075806727
U,P,0.046995048659723405
U,R,0.00431108075806727
U,U,0.00431108075806727
U,V,0.029921461499060952
U,^,0.00431108075806727
U,~,0.012847874338398497
V,!,0.0035344264609845203
V,#,0.0004456642603738284
V,$,0.01103570609103906
V,&,0.01015320260515029
V,",",0.059132146071976976
V,@,0.008388195633372751
V,A,0.04986585947014491
V,D,0.16238505392096297
V,E,0.0017694194892069822
V,END,0.01412446829164975
V,G,0.0026519229750957512
V,L,0.009270699119261521
V,N,0.06310341175847643
V,O,0.12399615228480151
V,P,0.1703275852939619
V,R,0.07281095010325289
V,S,0.0004456642603738284
V,T,0.034422048467091446
V,U,0.0004456642603738284
V,V,0.16017879520624104
V,X,0.0004456642603738284
V,Z,0.0030931747180401358
V,^,0.03398079672414706
V,~,0.003975678203928905
X,",",0.05525164113785558
X,D,0.4381838074398249
X,V,0.4928884026258205
Y,D,0.7890625
Z,",",0.0853174603174603
Z,A,0.2270408163265306
Z,G,0.0286281179138322
Z,N,0.39710884353741494
Z,V,0.0853174603174603
Z,^,0.17035147392290248
^,!,0.005552600079797845
^,$,0.027718668262623578
^,&,0.028826971671764866
^,",",0.23829631599946802
^,A,0.014419027352928137
^,D,0.0022276898523739858
^,E,0.0022276898523739858
^,END,0.02106884780777586
^,G,0.016635634171210712
^,L,0.0033359932615152723
^,N,0.12303276144877423
^,O,0.008877510307221705
^,P,0.06761759099170989
^,R,0.018852240989493285
^,S,0.0022276898523739858
^,T,0.0022276898523739858
^,U,0.004444296670656558
^,V,0.13633240235846966
^,Z,0.011094117125504278
^,^,0.2604623841822937
^,~,0.004444296670656558
~,!,0.027841979113165556
~,#,0.01928180106146208
~,$,0.008581578496832734
~,&,0.0021614449580551276
~,",",0.03426211265194316
~,@,0.5114920390344119
~,A,0.01928180106146208
~,D,0.02142184557438795
~,E,0.004301489470980996
~,END,0.053522513268275985
~,G,0.0021614449580551276
~,L,0.015001712035610341
~,N,0.025701934600239687
~,O,0.05994264680705359
~,P,0.01714175654853621
~,R,0.02142184557438795
~,U,0.01714175654853621
~,V,0.04496233521657251
~,X,0.006441533983906865
~,Z,0.0021614449580551276
~,^,0.04924242424242425
~,~,0.03640215716486903
@,T,0.00044883303411131055
@,M,0.00044883303411131055
@,Z,0.00044883303411131055
@,Y,0.00044883303411131055
",",S,0.000429553264604811
",",T,0.000429553264604811
",",M,0.000429553264604811
L,@,0.0008143322475570033
L,L,0.0008143322475570033
L,~,0.0008143322475570033
L,&,0.0008143322475570033
L,S,0.0008143322475570033
L,X,0.0008143322475570033
L,E,0.0008143322475570033
L,M,0.0008143322475570033
L,Z,0.0008143322475570033
L,!,0.0008143322475570033
L,U,0.0008143322475570033
L,Y,0.0008143322475570033
L,#,0.0008143322475570033
L,END,0.0008143322475570033
~,S,0.00044883303411131055
~,T,0.00044883303411131055
~,M,0.00044883303411131055
~,Y,0.00044883303411131055
&,~,0.0007002801120448179
&,&,0.0007002801120448179
&,S,0.0007002801120448179
&,X,0.0007002801120448179
&,E,0.0007002801120448179
&,T,0.0007002801120448179
&,M,0.0007002801120448179
&,Z,0.0007002801120448179
&,U,0.0007002801120448179
&,Y,0.0007002801120448179
&,#,0.0007002801120448179
&,END,0.0007002801120448179
S,@,0.002336448598130841
S,L,0.002336448598130841
S,~,0.002336448598130841
S,&,0.002336448598130841
S,S,0.002336448598130841
S,G,0.002336448598130841
S,$,0.002336448598130841
S,V,0.002336448598130841
S,R,0.002336448598130841
S,X,0.002336448598130841
S,E,0.002336448598130841
S,T,0.002336448598130841
S,M,0.002336448598130841
S,D,0.002336448598130841
S,O,0.002336448598130841
S,Z,0.002336448598130841
S,!,0.002336448598130841
S,U,0.002336448598130841
S,P,0.002336448598130841
S,Y,0.002336448598130841
S,#,0.002336448598130841
S,END,0.002336448598130841
N,S,0.00044883303411131055
N,X,0.00044883303411131055
N,M,0.00044883303411131055
N,Y,0.00044883303411131055
A,S,0.0004930966469428008
A,X,0.0004930966469428008
A,M,0.0004930966469428008
A,Z,0.0004930966469428008
A,Y,0.0004930966469428008
A,#,0.0004930966469428008
G,L,0.0006142506142506142
G,&,0.0006142506142506142
G,S,0.0006142506142506142
G,X,0.0006142506142506142
G,E,0.0006142506142506142
G,T,0.0006142506142506142
G,M,0.0006142506142506142
G,Z,0.0006142506142506142
G,Y,0.0006142506142506142
G,#,0.0006142506142506142
$,@,0.0005787037037037037
$,L,0.0005787037037037037
$,X,0.0005787037037037037
$,E,0.0005787037037037037
$,T,0.0005787037037037037
$,D,0.0005787037037037037
$,Z,0.0005787037037037037
$,Y,0.0005787037037037037
$,#,0.0005787037037037037
V,M,0.00041186161449752884
V,Y,0.00041186161449752884
R,S,0.00046992481203007516
R,X,0.00046992481203007516
R,T,0.00046992481203007516
R,M,0.00046992481203007516
R,Y,0.00046992481203007516
X,@,0.0030487804878048777
X,L,0.0030487804878048777
X,~,0.0030487804878048777
X,&,0.0030487804878048777
X,S,0.0030487804878048777
X,N,0.0030487804878048777
X,A,0.0030487804878048777
X,G,0.0030487804878048777
X,$,0.0030487804878048777
X,R,0.0030487804878048777
X,X,0.0030487804878048777
X,E,0.0030487804878048777
X,T,0.0030487804878048777
X,M,0.0030487804878048777
X,O,0.0030487804878048777
X,Z,0.0030487804878048777
X,!,0.0030487804878048777
X,^,0.0030487804878048777
X,U,0.0030487804878048777
X,P,0.0030487804878048777
X,Y,0.0030487804878048777
X,#,0.0030487804878048777
X,END,0.0030487804878048777
E,@,0.0006544502617801048
E,S,0.0006544502617801048
E,A,0.0006544502617801048
E,$,0.0006544502617801048
E,X,0.0006544502617801048
E,T,0.0006544502617801048
E,M,0.0006544502617801048
E,Z,0.0006544502617801048
E,^,0.0006544502617801048
E,Y,0.0006544502617801048
E,#,0.0006544502617801048
T,L,0.0007002801120448179
T,~,0.0007002801120448179
T,S,0.0007002801120448179
T,$,0.0007002801120448179
T,X,0.0007002801120448179
T,T,0.0007002801120448179
T,M,0.0007002801120448179
T,Z,0.0007002801120448179
T,!,0.0007002801120448179
T,U,0.0007002801120448179
T,Y,0.0007002801120448179
T,#,0.0007002801120448179
M,@,0.0043859649122807015
M,",",0.0043859649122807015
M,L,0.0043859649122807015
M,~,0.0043859649122807015
M,&,0.0043859649122807015
M,S,0.0043859649122807015
M,N,0.0043859649122807015
M,G,0.0043859649122807015
M,$,0.0043859649122807015
M,R,0.0043859649122807015
M,X,0.0043859649122807015
M,E,0.0043859649122807015
M,T,0.0043859649122807015
M,M,0.0043859649122807015
M,D,0.0043859649122807015
M,O,0.0043859649122807015
M,Z,0.0043859649122807015
M,!,0.0043859649122807015
M,^,0.0043859649122807015
M,U,0.0043859649122807015
M,P,0.0043859649122807015
M,Y,0.0043859649122807015
M,#,0.0043859649122807015
M,END,0.0043859649122807015
D,X,0.000429553264604811
D,M,0.000429553264604811
D,Y,0.000429553264604811
O,S,0.00046992481203007516
O,M,0.00046992481203007516
O,Z,0.00046992481203007516
O,Y,0.00046992481203007516
O,#,0.00046992481203007516
Z,@,0.001592356687898089
Z,L,0.001592356687898089
Z,~,0.001592356687898089
Z,&,0.001592356687898089
Z,S,0.001592356687898089
Z,$,0.001592356687898089
Z,R,0.001592356687898089
Z,X,0.001592356687898089
Z,E,0.001592356687898089
Z,T,0.001592356687898089
Z,M,0.001592356687898089
Z,D,0.001592356687898089
Z,O,0.001592356687898089
Z,Z,0.001592356687898089
Z,!,0.001592356687898089
Z,U,0.001592356687898089
Z,P,0.001592356687898089
Z,Y,0.001592356687898089
Z,#,0.001592356687898089
Z,END,0.001592356687898089
!,&,0.0006142506142506142
!,S,0.0006142506142506142
!,$,0.0006142506142506142
!,X,0.0006142506142506142
!,T,0.0006142506142506142
!,M,0.0006142506142506142
!,Z,0.0006142506142506142
!,U,0.0006142506142506142
!,Y,0.0006142506142506142
!,#,0.0006142506142506142
^,@,0.00046992481203007516
^,X,0.00046992481203007516
^,M,0.00046992481203007516
^,Y,0.00046992481203007516
^,#,0.00046992481203007516
U,L,0.0006544502617801048
U,S,0.0006544502617801048
U,N,0.0006544502617801048
U,X,0.0006544502617801048
U,E,0.0006544502617801048
U,T,0.0006544502617801048
U,M,0.0006544502617801048
U,D,0.0006544502617801048
U,Z,0.0006544502617801048
U,!,0.0006544502617801048
U,Y,0.0006544502617801048
P,E,0.00044883303411131055
P,T,0.00044883303411131055
P,M,0.00044883303411131055
P,Y,0.00044883303411131055
Y,@,0.0078125
Y,",",0.0078125
Y,L,0.0078125
Y,~,0.0078125
Y,&,0.0078125
Y,S,0.0078125
Y,N,0.0078125
Y,A,0.0078125
Y,G,0.0078125
Y,$,0.0078125
Y,V,0.0078125
Y,R,0.0078125
Y,X,0.0078125
Y,E,0.0078125
Y,T,0.0078125
Y,M,0.0078125
Y,O,0.0078125
Y,Z,0.0078125
Y,!,0.0078125
Y,^,0.0078125
Y,U,0.0078125
Y,P,0.0078125
Y,Y,0.0078125
Y,#,0.0078125
Y,END,0.0078125
#,L,0.0006142506142506142
#,&,0.0006142506142506142
#,S,0.0006142506142506142
#,A,0.0006142506142506142
#,X,0.0006142506142506142
#,E,0.0006142506142506142
#,T,0.0006142506142506142
#,M,0.0006142506142506142
#,Z,0.0006142506142506142
#,Y,0.0006142506142506142
START,T,0.000429553264604811
START,Y,0.000429553264604811
