i,j,prob
S,!,0.11786339027028937
S,^,0.029593463926633746
S,U,0.0050284944671498384
S,P,0.0005279853519239767
S,Y,0.029041135417606535
S,#,0.04480444412598154
S,STOP,6.329199911404308e-09
N,@,0.003971077246434299
N,",",0.0191051343080912
N,L,0.08865567701422257
N,~,0.0008670045022195158
N,&,0.044890708352690156
N,S,0.024770780342563907
N,N,0.0010116248931609046
N,A,0.20308454680995713
N,G,0.036880086198117376
N,$,0.13639556686463644
N,V,0.00662217044932568
N,R,0.024753031650397477
N,X,0.07145400183293348
N,E,0.011570066741539913
N,T,0.000115855271560362
N,M,0.013934445028975158
N,D,0.004659020836325086
N,O,0.005369205781546448
N,Z,0.17880223269537013
N,!,0.0003200181814118919
N,^,0.0438755987723462
N,U,0.002793717502079236
N,P,0.000637075633475693
N,Y,0.06864538747068834
N,#,0.003757884410723694
N,STOP,0.003058081209207572
A,@,0.045432620436475175
A,",",0.02031389834559026
A,L,0.035193638858749494
A,~,0.001710459658346525
A,&,0.07109228776157309
A,S,0.15832503887823082
A,N,0.0024734811811780015
A,A,0.006828273332195482
A,G,0.03105588966541171
A,$,0.0031877088697894545
A,V,0.02374652509538463
A,R,0.002580209299226413
A,X,0.00013767860096463729
A,E,0.34171015825045503
A,T,0.0042782976396441115
A,M,0.006737197217048233
A,D,0.002779071955122092
A,O,0.024065615072390998
A,Z,0.01139017560439233
A,!,0.005690765220393554
A,^,0.01794683759244528
A,U,0.09125642336576585
A,P,0.03618354557297385
A,Y,0.012407039595841598
A,#,0.04083964294851448
A,STOP,0.002637519981896927
G,@,0.00766153230669265
G,",",0.011991332004139476
G,L,0.0012093060627530385
G,~,0.023186386402430568
G,&,0.009767984233876979
G,S,0.01010791602272365
G,N,0.006441237621830253
G,A,0.023546182291483135
G,G,0.005954404099609792
G,$,0.0037369555026737734
G,V,0.02403889454706932
G,R,0.006010687211853967
G,X,0.019325394023217923
G,E,0.07038120508729917
G,T,0.036581617977363944
G,M,0.00270090539287981
G,D,0.0029342060733170325
G,O,0.5841566391371995
G,Z,0.002761813460860443
G,!,0.009721908881677907
G,^,0.001288462718333773
G,U,0.033737573232072604
G,P,0.018268347210495382
G,Y,0.03219935975438797
G,#,0.05095452711749398
G,STOP,0.0013352216262638873
$,@,0.07589568800898493
$,",",0.08349470092724522
$,L,0.01640620942640731
$,~,0.001437481732733319
$,&,7.125339192130741e-06
$,S,0.009468990384681096
$,N,0.01430777475472742
$,A,0.02364450263643726
$,G,0.0060102186350271996
$,$,0.14728814417880537
$,V,0.007821483126354618
$,R,0.0011723706017140877
$,X,0.07886002463244123
$,E,0.006813583003474823
$,T,0.014417835650051655
$,M,0.19020427886233124
$,D,0.018579157476748584
$,O,0.00012361012860021025
$,Z,0.037427391359714304
$,!,0.012042985849449253
$,^,0.10905898721254044
$,U,0.03496741406246545
$,P,0.005265045521535582
$,Y,0.06019744581704511
$,#,0.04508754994260434
$,STOP,7.286878415187149e-10
V,@,0.06650209962350825
V,",",0.04661726171793035
V,L,0.00035327460101987156
V,~,0.15649844251707476
V,&,1.728205341188595e-06
V,S,0.0026819985299621632
V,N,0.00936747044697041
V,A,0.007099653441497772
V,G,0.03127832278334307
V,$,0.009035149711903162
V,V,0.006919084862333913
V,R,0.09288686622774282
V,X,0.10102812187560974
V,E,0.009803113197739641
V,T,0.03974572101998043
V,M,0.12293976646190928
V,D,0.028039868746512993
V,O,0.01583062121850884
V,Z,0.0049827057777377705
V,!,0.0324880126787106
V,^,0.16481768758666757
V,U,0.006245306438808819
V,P,0.0058569631007765535
V,Y,0.03832099308664539
V,#,0.0006597657071691326
V,STOP,4.345954945870235e-10
R,@,0.0019299917754308838
R,",",0.0035239037515817696
R,L,0.008668908796066278
R,~,0.13261961654868804
R,&,0.00016769126773515092
R,S,0.04417793634366258
R,N,0.0030141599662197945
R,A,0.040531275733109266
R,G,0.008893553238775652
R,$,0.1330398926990049
R,V,0.09701443284035283
R,R,0.08386747872996751
R,X,0.06306919897665424
R,E,0.003793226645235688
R,T,0.04516251809291957
R,M,0.006603613463971984
R,D,0.005518216802909702
R,O,0.014851034253074834
R,Z,0.014513701879868626
R,!,0.0058688484591023935
R,^,0.014032897007424706
R,U,0.1165369474243749
R,P,0.1043137719828807
R,Y,0.002500667897988818
R,#,0.0457865098063568
R,STOP,5.6166424271496345e-09
X,@,0.10691630728166121
X,",",0.10336597117506971
X,L,0.03106617383494942
X,~,0.030142134126210154
X,&,0.00010875140240884845
X,S,0.014939492354966449
X,N,0.003207484545208348
X,A,0.033143034622487834
X,G,0.09031229472090455
X,$,0.011893936771564962
X,V,0.023400748323438872
X,R,0.0024729202484679216
X,X,0.0648404377081497
X,E,0.0131024527477844
X,T,0.0025223679773215425
X,M,0.1381477312897195
X,D,0.04851830044232911
X,O,0.01494093673773377
X,Z,0.09012956328704254
X,!,0.021728831030860367
X,^,0.028441109503318997
X,U,0.06699210605217883
X,P,0.02430492525103513
X,Y,0.030583460197077646
X,#,0.004778528328860019
X,STOP,3.924999599441642e-11
E,@,0.030881364779999348
E,",",0.03478700024326582
E,L,0.009743232403908099
E,~,0.11234119758903707
E,&,6.0899819248177856e-05
E,S,0.01226847106653327
E,N,0.011403873489964243
E,A,0.011029054835694205
E,G,0.01566045563966901
E,$,0.026890746283145427
E,V,0.04471126675377295
E,R,0.3094583214796496
E,X,0.04144596052709567
E,E,0.05839369148702317
E,T,0.010674412193748041
E,M,0.01910956942622214
E,D,0.0018846613659838603
E,O,9.803945680569788e-05
E,Z,0.03217717288622766
E,!,0.04311564268309017
E,^,0.017265822984075082
E,U,0.05158893551196498
E,P,0.07594506847398699
E,Y,0.009053174985134516
E,#,0.02001127396319956
E,STOP,6.896715556925308e-07
T,@,0.046449510983724754
T,",",0.00311456885530378
T,L,0.03932303119027577
T,~,0.03247633655401433
T,&,5.449970956920171e-06
T,S,0.0099919750922888
T,N,0.00335492197632201
T,A,0.0388274967422813
T,G,0.003897055648254205
T,$,0.053874555615937125
T,V,0.025767564211436216
T,R,0.005746766571961118
T,X,0.1469406601453114
T,E,0.010374959119739442
T,T,0.1344316289371718
T,M,0.17443283174189017
T,D,0.0048695126753457215
T,O,0.007025792733355608
T,Z,0.014472990524432993
T,!,0.011927007192913631
T,^,0.0580789749808832
T,U,0.0028304258136293394
T,P,0.0006242554552068359
T,Y,0.010234010396432609
T,#,0.16090666860071018
T,STOP,2.104827022050805e-05
M,@,0.039845815978787474
M,",",0.0008695428930762879
M,L,0.011847771832355669
M,~,0.10853300829004146
M,&,9.573542161099975e-06
M,S,0.012581467249417303
M,N,0.00037310334860340207
M,A,0.005574232600987399
M,G,0.01275465960357507
M,$,0.01433072105386109
M,V,0.12895479583845654
M,R,0.10283937220419868
M,X,0.07507844944123247
M,E,0.0035581147952856848
M,T,0.004448257985079541
M,M,0.09608877166925323
M,D,0.04562510150859641
M,O,0.0006962035507312023
M,Z,0.009792170242645764
M,!,0.01891584664597897
M,^,0.025898477163324864
M,U,0.021037717275183204
M,P,0.2019167284584272
M,Y,0.0018258958239925516
M,#,0.05660398712125011
M,STOP,2.138834972308391e-07
D,@,0.04908285114227432
D,",",0.004316240254682914
D,L,0.019650277359281723
D,~,0.024494129327403552
D,&,2.8927738364110575e-05
D,S,0.0052207397151267125
D,N,0.014513112039809182
D,A,0.06001271613422654
D,G,0.005057087889492577
D,$,0.14765356639801236
D,V,0.020134705434969164
D,R,0.010957261424492427
D,X,0.012718966471816709
D,E,0.02310008386133595
D,T,0.039290174767832864
D,M,0.23158016822305544
D,D,0.014685280802090929
D,O,0.00782729253840865
D,Z,0.11603801148875338
D,!,0.008134622317050593
D,^,0.02662995670897359
D,U,0.004340356120713851
D,P,0.005705174923066985
D,Y,0.07415783152302718
D,#,0.07467012425505519
D,STOP,3.4114068312764303e-07
O,@,3.4526441812087486e-06
O,",",0.0001499452449371351
O,L,0.000432741604913704
O,~,0.00015665288795342177
O,&,0.010101380760277721
O,S,0.007320409646727053
O,N,1.020490229022679e-05
O,A,0.0001401467214486751
O,G,0.0003110336107596709
O,$,2.4174404077385677e-05
O,V,2.4070491149845896e-05
O,R,3.7228205180008634e-05
O,X,3.399757807482658e-05
O,E,0.053763080417125034
O,T,0.0028821571114852574
O,M,3.66425576166358e-06
O,D,0.0003618379214834022
O,O,0.050911360349249285
O,Z,0.00028855868345917013
O,!,6.59029241887138e-05
O,^,4.853587139976527e-05
O,U,0.0017623098005754192
O,P,0.0006090854607401476
O,Y,0.0014634820067722814
O,#,0.0014322622947147276
O,STOP,0.8676623242010743
Z,@,0.09179528056069895
Z,",",9.301067084567798e-06
Z,L,0.027837497224720724
Z,~,0.019761832740839168
Z,&,0.005208587517271677
Z,S,0.07326446468605574
Z,N,0.0011532481384211174
Z,A,0.07849093946022045
Z,G,0.03406995720651769
Z,$,0.020436190592782396
Z,V,0.051698735612180274
Z,R,0.039195975694912226
Z,X,0.0020271468096878568
Z,E,0.09221659235302485
Z,T,0.05571499449909562
Z,M,0.02251964461693974
Z,D,0.010203732531552465
Z,O,0.12245074088711623
Z,Z,0.03242925199885789
Z,!,0.004020958715958716
Z,^,0.16062978001922792
Z,U,0.02043991774235218
Z,P,0.002637887152932122
Z,Y,0.03171479820913845
Z,#,7.252557749227449e-05
Z,STOP,1.8384918498095934e-08
!,@,0.02593763901424332
!,",",0.006118284155943548
!,L,0.0069747485919863005
!,~,0.021743581910315286
!,&,0.00023961762855140555
!,S,0.06804642191311708
!,N,0.015346393876705191
!,A,0.036842234473158667
!,G,0.021589298175422076
!,$,0.07336431379759825
!,V,0.04398257720405352
!,R,0.018914886229571545
!,X,0.025828817723480613
!,E,0.004897480747241466
!,T,0.04379394844130288
!,M,0.013651059075780911
!,D,0.025973328377692475
!,O,0.0021550912315814017
!,Z,0.0822989287535913
!,!,0.00037431312204404065
!,^,0.37548529753627413
!,U,0.04281781868022307
!,P,0.009350361585065688
!,Y,0.0033191726736200512
!,#,0.030954306250501443
!,STOP,7.883093419957417e-08
^,@,0.005429190970950512
^,",",0.03169000023372136
^,L,0.004420310497448332
^,~,0.20600726543479866
^,&,0.0007250424275518333
^,S,0.044759885757464174
^,N,0.004660023060342526
^,A,0.000733347025544168
^,G,0.0024462219477482563
^,$,0.21151148027582947
^,V,0.1424681576526365
^,R,0.009358508018696565
^,X,0.05158391998633865
^,E,0.006360184913248123
^,T,0.05318108453573556
^,M,0.055373313689826696
^,D,0.03956138141601132
^,O,5.014971805953111e-05
^,Z,0.06404307613577198
^,!,0.014065326369224591
^,^,0.01605028883604367
^,U,0.002001235712299066
^,P,0.020740681199724855
^,Y,0.005593905738847171
^,#,0.0071855442954712545
^,STOP,4.7415066527707e-07
U,@,0.08539054045275252
U,",",0.21126408228361604
U,L,0.007326740960529108
U,~,0.03597641597509417
U,&,0.011103798848549827
U,S,0.03243872217236259
U,N,0.005534163379249138
U,A,0.01216589952321338
U,G,0.07768428381721844
U,$,0.00013322822059607674
U,V,0.03334390766638674
U,R,0.12716447784174295
U,X,0.007227915915637189
U,E,0.05368109832562196
U,T,0.012445666798690162
U,M,0.016425226700256326
U,D,0.024882382107578472
U,O,0.021722164579056066
U,Z,0.03604001515852638
U,!,0.004173784408380644
U,^,0.011858954783101932
U,U,0.02296305736024088
U,P,0.1217699844853038
U,Y,0.02631603747162846
U,#,0.0009354827332677217
U,STOP,3.196803139902157e-05
P,@,0.006473561830852311
P,",",0.002767268658108832
P,L,0.0053822880711111324
P,~,0.006483122655935937
P,&,5.821270747022534e-06
P,S,0.0036233085099039186
P,N,0.009626583409788114
P,A,0.10407782509926587
P,G,0.09227140339937961
P,$,0.011937410295338248
P,V,0.025881567781876436
P,R,0.011471514482494683
P,X,0.0017032106107147725
P,E,0.024419449003693673
P,T,0.009631128577899075
P,M,0.006514098835188857
P,D,0.000800211132641632
P,O,0.6050802632985162
P,Z,0.0028304477695497592
P,!,0.013574999875218506
P,^,0.013450194083045281
P,U,0.0035138601609017214
P,P,1.2964892701984233e-05
P,Y,0.009408661365373466
P,#,0.029055594898616872
P,STOP,3.2400311360846175e-06
Y,@,0.03249298366351272
Y,",",0.0009017715033593834
Y,L,0.004762250206977539
Y,~,0.0666023736413045
Y,&,2.7161128675317824e-05
Y,S,0.015536006611117226
Y,N,0.0027079565561236953
Y,A,0.08659206625221946
Y,G,0.04960391707508815
Y,$,0.013717393108279075
Y,V,0.03161322442970162
Y,R,0.045532923150488784
Y,X,0.06520875185287635
Y,E,0.02299004542993899
Y,T,0.01863156119505879
Y,M,0.019761068485303474
Y,D,0.019947038339637707
Y,O,0.1628152058189724
Y,Z,0.07943899600917835
Y,!,0.05975965713019615
Y,^,0.007499472890515078
Y,U,0.022759910503891305
Y,P,0.0071030603330758625
Y,Y,0.1248375639249786
Y,#,0.039131624155350674
Y,STOP,2.6016604178857568e-05
#,@,0.023268016322792708
#,",",0.007524373886564088
#,L,0.0069413569119686986
#,~,0.0019563854132530175
#,&,3.865645722710124e-05
#,S,0.001431937999032942
#,N,0.00015213241422910203
#,A,0.026042316966071222
#,G,0.013697228050522457
#,$,0.0014460994608318468
#,V,0.01671983468069879
#,R,0.0025548230880400565
#,X,0.02847878894251342
#,E,0.062481613205891934
#,T,0.05231004623842988
#,M,0.04034958264154072
#,D,0.012886335736379926
#,O,0.6164959477169917
#,Z,0.0007997988309042869
#,!,0.006026747037530028
#,^,0.02409906108880423
#,U,0.013226942831162814
#,P,0.000799232893666955
#,Y,0.036176115955148976
#,#,0.004096561613178479
#,STOP,6.361662484402114e-08
