i,j,prob
~,$,0.026453789124260878
~,V,0.01975398207808248
~,R,0.014198178366348024
~,X,0.039886921555156926
~,E,0.0001704209211011688
~,T,0.05343035412003844
~,M,0.021341974992168253
~,D,0.06779679857217642
~,O,0.04361031428083759
~,Z,0.054205363699555704
~,!,0.020580488319914755
~,^,0.03401709847949839
~,U,0.06758083787925513
~,P,0.06313148087725713
~,Y,0.03750014138046231
~,#,0.05781355637534365
~,STOP,0.020800168962144653
&,@,0.07040998185314842
&,",",0.014422864362368924
&,L,0.020735172202713967
&,~,0.036425068008889123
&,&,0.006118381895501006
&,S,0.008624990156671342
&,N,0.07176355555893743
&,A,0.04929456352693556
&,G,0.06800228899918406
&,$,0.051399865527309456
&,V,0.07051962574522554
&,R,0.009863088612203367
&,X,0.07701428236121077
&,E,0.003660327979650342
&,T,0.023002853048411948
&,M,0.004752796917901882
&,D,0.07446929849129591
&,O,0.046855551392669816
&,Z,0.08301434643246944
&,!,0.07012989879110616
&,^,0.04253719937737568
&,U,0.0031154678825575976
&,P,0.03721511878315639
&,Y,0.011950908647015068
&,#,0.02784563419055212
&,STOP,0.016856869255538597
S,@,0.009237075629056797
S,",",0.059166277488358364
S,L,0.06876410062769366
S,~,0.04213835149231533
S,&,0.030609313708774444
S,S,0.02373382166096219
S,N,0.0692583436511789
S,A,0.02125790600287562
S,G,0.024818471184755657
S,$,0.03539745189713507
S,V,0.047498499227206434
S,R,0.0693061324202399
S,X,0.003964524557224798
S,E,0.06173583895548348
S,T,0.04153851672420519
S,M,0.030918277672366195
S,D,0.06799699275720042
S,O,0.045063678480895
S,Z,0.015160249252187237
S,!,0.06380601727442825
S,^,0.02648592578545278
S,U,0.016999159497684425
S,P,0.005135788065972192
S,Y,0.056238982398526295
S,#,0.0518009499340366
S,STOP,0.011969353653784731
N,@,0.011834003159087815
N,",",0.0552844181154211
N,L,0.06108099106217305
N,~,0.007074925618197599
N,&,0.07412296012309243
N,S,0.041728446498454426
N,N,0.010054775309340428
N,A,0.07116453617213367
N,G,0.06448005035055769
N,$,0.07319611021789613
N,V,0.028074573039455507
N,R,0.04743737010998462
N,X,0.07223101514915452
N,E,0.02762727720137546
N,T,0.0006372257217601675
N,M,0.0269091178662229
N,D,0.027859709301437937
N,O,0.024557306493658074
N,Z,0.05589035181257902
N,!,0.004036078000231992
N,^,0.03142227064596211
N,U,0.010073703928851358
N,P,0.010691057390189624
N,Y,0.0753470762942443
N,#,0.01769022606527949
N,STOP,0.06949442435325848
A,@,0.06424999444229207
A,",",0.047106166248902216
A,L,0.05935867286414567
A,~,0.007820146062380753
A,&,0.03725647768877077
A,S,0.06086877623422795
A,N,0.030221913397171504
A,A,0.01970413277168943
A,G,0.056897934730857275
A,$,0.01760428997727001
A,V,0.049162156902576915
A,R,0.011173388646291204
A,X,0.0010067965575118283
A,E,0.06897324555358954
A,T,0.010330720396407148
A,M,0.033280792852260925
A,D,0.012038493878813615
A,O,0.02218961522606566
A,Z,0.03909061992532815
A,!,0.04102198158833297
A,^,0.04726902386829081
A,U,0.0630770509885834
A,P,0.05334146246355149
A,Y,0.03304741713343162
A,#,0.049448634210482144
A,STOP,0.06446009539077495
G,@,0.026610590549134432
G,",",0.03831230352553555
G,L,0.006568615574267894
G,~,0.06508960918367757
G,&,0.03767315117882271
G,S,0.01540492999737691
G,N,0.05226494244778893
G,A,0.04915753369742388
G,G,0.015994123501180686
G,$,0.01758741646322644
G,V,0.053704080281240525
G,R,0.024502207524213716
G,X,0.06771524218304167
G,E,0.04430602397061192
G,T,0.052993772114313394
G,M,0.016033344623448832
G,D,0.01712985457468211
G,O,0.0640758318393514
G,Z,0.014293674592422707
G,!,0.058724229082686104
G,^,0.007263901669082678
G,U,0.045038310277562624
G,P,0.04149078735445492
G,Y,0.05822592141736449
G,#,0.047808077682223296
G,STOP,0.06203152469486457
$,@,0.060236258022388696
$,",",0.06670214238451566
$,L,0.04728785883234025
$,~,0.0036568251144301783
$,&,0.013865798513499332
$,S,0.03391626835158272
$,N,0.06389129305260094
$,A,0.050892413392819295
$,G,0.02478688311305665
$,$,0.062450874822780306
$,V,0.012300778429486688
$,R,0.0037980671647184707
$,X,0.05327360678631337
$,E,0.019840822864609045
$,T,0.022566142175257813
$,M,0.05975561063331499
$,D,0.03136223707075037
$,O,0.01427197412169469
$,Z,0.043701385476159774
$,!,0.03403599826340973
$,^,0.05455905535846794
$,U,0.040854496711140185
$,P,0.031763159730260566
$,Y,0.0635529861959697
$,#,0.04955690277629814
$,STOP,0.03712016064213446
V,@,0.05874237591685621
V,",",0.06325681878397207
V,L,0.002051666518902058
V,~,0.07846806823380297
V,&,0.00606021256086282
V,S,0.015490457085911137
V,N,0.05291643376112724
V,A,0.019744340332749945
V,G,0.055585650950804984
V,$,0.015847153472506294
V,V,0.014108057938447317
V,R,0.06137840770764238
V,X,0.07526685547605823
V,E,0.028787603685735453
V,T,0.042482956937817944
V,M,0.0568720123799197
V,D,0.0482332391824229
V,O,0.059715688762185075
V,Z,0.012762813514767208
V,!,0.06533872804830224
V,^,0.06244498222531504
V,U,0.010782396026203567
V,P,0.0269505668440083
V,Y,0.05959364431772639
V,#,0.002210214037068535
V,STOP,0.004908655298884164
R,@,0.007238057527254691
R,",",0.01968170784727757
R,L,0.033663726257066456
R,~,0.06366967760691206
R,&,0.036391613452844175
R,S,0.06477432413721895
R,N,0.031977699135638527
R,A,0.059569724593969905
R,G,0.021881348326412683
R,$,0.06280259298709191
R,V,0.05939090051871874
R,R,0.05799093582168775
R,X,0.05747140803542853
R,E,0.01251656256437606
R,T,0.045336598911280196
R,M,0.010864058924266368
R,D,0.014352663317353081
R,O,0.06411510210409475
R,Z,0.032966809201348236
R,!,0.026974115396059976
R,^,0.023961502661144395
R,U,0.0609996324904831
R,P,0.0658079028272769
R,Y,0.010218542280886684
R,#,0.03807707500998906
R,STOP,0.01730571806391939
X,@,0.06602422540049274
X,",",0.06716874259817177
X,L,0.058190475207173964
X,~,0.03217306119872553
X,&,0.0369378842066153
X,S,0.0375752726190904
X,N,0.029765493533918847
X,A,0.034688342036992725
X,G,0.06597852404157306
X,$,0.016851444814453397
X,V,0.029783980802908734
X,R,0.004960650899430136
X,X,0.05382394031665462
X,E,0.02994377643627195
X,T,0.0045221558909174266
X,M,0.050499728415598154
X,D,0.05319640627660245
X,O,0.04786371771080221
X,Z,0.058587700989595475
X,!,0.051990240234424605
X,^,0.022972467862014682
X,U,0.0460620635372318
X,P,0.04782798035759955
X,Y,0.04293568852255998
X,#,0.008361347852778816
X,STOP,0.001314688237401571
E,@,0.042688540484446695
E,",",0.05523351536970343
E,L,0.03231974668360191
E,~,0.06171367713932484
E,&,0.02008916640462221
E,S,0.029912786746831937
E,N,0.04557723569536368
E,A,0.029296676411245382
E,G,0.04376378699080691
E,$,0.02441646726936812
E,V,0.03941658101316704
E,R,0.07337547038452305
E,X,0.046730540942773596
E,E,0.0532355949337985
E,T,0.01957610857052277
E,M,0.021272295969015215
E,D,0.005165318827294935
E,O,0.009808554826215754
E,Z,0.04068795234504788
E,!,0.05913178389822962
E,^,0.02071661169142477
E,U,0.04719040706500275
E,P,0.06452504789979388
E,Y,0.023237827150331136
E,#,0.028964611493391395
E,STOP,0.06195369379415276
T,@,0.06068952840091148
T,",",0.015311935279111247
T,L,0.07331918204115134
T,~,0.038774606458001494
T,&,0.005186435813037366
T,S,0.031399053382738934
T,N,0.03950870286404531
T,A,0.05111827432898267
T,G,0.01312908605582239
T,$,0.04483719268472031
T,V,0.03680037179261186
T,R,0.013622890451888818
T,X,0.07821793035785399
T,E,0.02823413902459445
T,T,0.06561213009107636
T,M,0.06786927864147327
T,D,0.013892345358103778
T,O,0.039324146614398536
T,Z,0.026297008743157903
T,!,0.03933383912523838
T,^,0.052510261004420626
T,U,0.00808430022620052
T,P,0.003478981851387004
T,Y,0.02111428614111701
T,#,0.069139421170723
T,STOP,0.06319467209723192
M,@,0.051373694568769314
M,",",0.004867217806260063
M,L,0.04378737906737898
M,~,0.05632239906605837
M,&,0.014564446610702962
M,S,0.04206580044151458
M,N,0.007878441915640178
M,A,0.02485021209164041
M,G,0.03408294655994606
M,$,0.02129610070287323
M,V,0.06805881211676917
M,R,0.06365400703150136
M,X,0.06910718382256197
M,E,0.014462549836984357
M,T,0.007549973116787702
M,M,0.048437589748935805
M,D,0.05703245423546691
M,O,0.04304375517034313
M,Z,0.0186314072258206
M,!,0.05250894099808529
M,^,0.035111702391891084
M,U,0.03301801436997921
M,P,0.08208563060861265
M,Y,0.006741554895020105
M,#,0.04575094867905768
M,STOP,0.05371683692139901
D,@,0.052678710387897086
D,",",0.014577186896694566
D,L,0.03902033506455833
D,~,0.03839427401191356
D,&,0.03170158045618113
D,S,0.021282620557419057
D,N,0.05741791580336733
D,A,0.06029760133075655
D,G,0.015697483060910004
D,$,0.06017614395359201
D,V,0.031764761136069644
D,R,0.01986182983080836
D,X,0.018683935484651318
D,E,0.04239321535311635
D,T,0.03963824616267548
D,M,0.06217014490064434
D,D,0.033976407300844225
D,O,0.044976997020731414
D,Z,0.05710226586489266
D,!,0.0264270246574749
D,^,0.02230021424150463
D,U,0.011968924247609761
D,P,0.030475380233129363
D,Y,0.06874161630199856
D,#,0.05745836813035703
D,STOP,0.04081681761020264
O,@,0.0006394378926422862
O,",",0.028941226538945677
O,L,0.03367336358239766
O,~,0.04758206746342903
O,&,0.020929883691197197
O,S,0.04305384890590776
O,N,0.005344827795701967
O,A,0.02873438030053165
O,G,0.02382506225212234
O,$,0.012987761521776294
O,V,0.008147741800901734
O,R,0.013551316354348896
O,X,0.02265642250459791
O,E,0.08795557692025101
O,T,0.08490958248005841
O,M,0.010325546571117077
O,D,0.0649409759615851
O,O,0.05106816279043199
O,Z,0.07913988268272766
O,!,0.03704654898912953
O,^,0.020812515271737324
O,U,0.05521920996801945
O,P,0.02040973006118055
O,Y,0.07238134643179667
O,#,0.038193331595277914
O,STOP,0.0875302496721869
Z,@,0.06652013025665765
Z,",",6.354699408274255e-05
Z,L,0.04191569516595567
Z,~,0.03323057510697506
Z,&,0.034131059555457574
Z,S,0.06691647474492761
Z,N,0.014943174989849147
Z,A,0.05753174831511203
Z,G,0.0464055646241889
Z,$,0.03541433882084814
Z,V,0.05374201147510711
Z,R,0.04804946955684764
Z,X,0.007179830184387879
Z,E,0.06502892860112602
Z,T,0.05543219826974796
Z,M,0.026485426109906417
Z,D,0.02865610973735758
Z,O,0.06352692332699074
Z,Z,0.049315354978836275
Z,!,0.022408908535503865
Z,^,0.06816686219915667
Z,U,0.030871420484823383
Z,P,0.012538112052531625
Z,Y,0.05456065268520937
Z,#,0.0002997773090531614
Z,STOP,0.016665705919359567
!,@,0.036455346564570154
!,",",0.024258632655426684
!,L,0.01689135140767752
!,~,0.04377632548323472
!,&,0.034779962039607634
!,S,0.06465697512325613
!,N,0.062129421095113824
!,A,0.041771608891130615
!,G,0.04429583368303321
!,$,0.04933493507206562
!,V,0.06251541670833695
!,R,0.03660408364242825
!,X,0.03919845417027358
!,E,0.01252998190024205
!,T,0.047967218271055205
!,M,0.017786542549113205
!,D,0.045286712299404806
!,O,0.04579745228472286
!,Z,0.03889763786693537
!,!,0.0036197409030318418
!,^,0.06018261077704135
!,U,0.04172769048859849
!,P,0.036953060723695565
!,Y,0.009807887744941153
!,#,0.050275803756431016
!,STOP,0.03249931389863212
^,@,0.01354182296538704
^,",",0.06898199382906407
^,L,0.019182512018322353
^,~,0.07749134774708137
^,&,0.043457260487417465
^,S,0.06248149809203216
^,N,0.04395201058186742
^,A,0.009585953682775546
^,G,0.017151374260586345
^,$,0.06469230497732735
^,V,0.06902124788639744
^,R,0.017003741109927036
^,X,0.04900834980145269
^,E,0.017707492392836387
^,T,0.043299751313768335
^,M,0.04173276605020296
^,D,0.050164412496454716
^,O,0.01348310768317402
^,Z,0.0626622154222648
^,!,0.04081744800705881
^,^,0.020502214656546894
^,U,0.005302533191077561
^,P,0.04078035076849135
^,Y,0.020098203739763145
^,#,0.011678006768336784
^,STOP,0.0762200800703861
U,@,0.06701273651886985
U,",",0.068457636078585
U,L,0.02389176849752574
U,~,0.043500375558033176
U,&,0.06542973239140565
U,S,0.04775883964097035
U,N,0.038705937350299036
U,A,0.020147310171046706
U,G,0.04770637390869198
U,$,0.00042257019144047723
U,V,0.04054623805614745
U,R,0.0606838379576387
U,X,0.020905038892542065
U,E,0.04403567158930647
U,T,0.018874049240876364
U,M,0.020434739002198773
U,D,0.0455146214084246
U,O,0.035380422221834545
U,Z,0.05246701703993104
U,!,0.02282996572804756
U,^,0.019593765455218497
U,U,0.026393952321881606
U,P,0.06905222836041106
U,Y,0.03695942601667933
U,#,0.0016613337842389597
U,STOP,0.061634412617755145
P,@,0.04054998531143251
P,",",0.02119062231262383
P,L,0.036940384789636814
P,~,0.03431174708238013
P,&,0.003998677292120988
P,S,0.04141981600805637
P,N,0.06448778443322206
P,A,0.04932242829479741
P,G,0.06583205884039733
P,$,0.040562111035601194
P,V,0.06129402003410238
P,R,0.04220499899330698
P,X,0.014841143339369716
P,E,0.066022495907323
P,T,0.0330633787928473
P,M,0.02922066283537279
P,D,0.008487253467954392
P,O,0.06439867416932311
P,Z,0.02157356411833904
P,!,0.05694301519561256
P,^,0.03970941782095967
P,U,0.021494533853329
P,P,0.00020429524430869476
P,Y,0.03423099259895672
P,#,0.054366500657969774
P,STOP,0.053329437570656384
Y,@,0.04513422496173886
Y,",",0.0035429022257781433
Y,L,0.015562902339788607
Y,~,0.057427815712125886
Y,&,0.005011429852680553
Y,S,0.03681822750864795
Y,N,0.025019353508194616
Y,A,0.0515136766837051
Y,G,0.035886735965673655
Y,$,0.024242134916296343
Y,V,0.036768917350162814
Y,R,0.048110465807596224
Y,X,0.06620758614153967
Y,E,0.029604262504745137
Y,T,0.02132641988768154
Y,M,0.025202260511763837
Y,D,0.03925839077672442
Y,O,0.06811344799393543
Y,Z,0.06741333544820598
Y,!,0.07406810996963875
Y,^,0.012085975552103355
Y,U,0.029684344026496317
Y,P,0.017095371348383674
Y,Y,0.0734190829049949
Y,#,0.029806840479420903
Y,STOP,0.06167578562197727
#,@,0.05428734895422703
#,",",0.039079908015925174
#,L,0.04304331549259693
#,~,0.010526495676115457
#,&,0.025283425767582173
#,S,0.010964629476344794
#,N,0.00419265504891722
#,A,0.04041968144232841
#,G,0.030549602352726555
#,$,0.006175388074459054
#,V,0.04996504050853651
#,R,0.01693626072880151
#,X,0.06471525117876006
#,E,0.08332344363351699
#,T,0.07890664412473292
#,M,0.05620635846421401
#,D,0.053741440999560394
#,O,0.07293987572818292
#,Z,0.005551755117603409
#,!,0.05476004402344155
#,^,0.04966319489772756
#,U,0.03529021045933401
#,P,0.01154913188578814
#,Y,0.06804462522742168
#,#,0.014789711872207446
#,STOP,0.019094560848947967
